,year,gold_medal,silver_medal,bronze_medal,total_medal
154,2012,1,1,0,2
155,2012,0,0,2,2
156,2012,2,0,0,2
157,2012,0,0,2,2
158,2012,1,1,0,2
159,2012,2,0,0,2
160,2008,1,0,1,2
161,2008,2,0,0,2
162,2008,1,1,0,2
163,2008,1,0,1,2
164,2008,1,1,0,2
165,2008,2,0,0,2
166,2004,2,0,0,2
167,2000,1,1,0,2
168,2000,1,1,0,2
169,2000,0,1,1,2
170,2000,2,0,0,2
171,2012,1,0,1,2
172,2012,1,0,1,2
173,2012,1,1,0,2
174,2012,2,0,0,2
175,2004,1,0,1,2
176,2004,2,0,0,2
177,2000,2,0,0,2
178,2012,0,1,1,2
179,2012,0,1,1,2
180,2012,0,1,1,2
181,2012,2,0,0,2
182,2012,0,1,1,2
183,2012,2,0,0,2
184,2008,2,0,0,2
185,2008,0,2,0,2
186,2008,0,2,0,2
187,2008,2,0,0,2
188,2004,0,0,2,2
189,2004,2,0,0,2
190,2004,0,0,2,2
191,2004,0,2,0,2
192,2004,0,2,0,2
193,2004,2,0,0,2
194,2000,2,0,0,2
195,2000,2,0,0,2
196,2000,0,2,0,2
197,2000,0,2,0,2
198,2012,0,0,2,2
199,2012,0,1,1,2
200,2012,0,1,1,2
201,2012,0,2,0,2
202,2012,1,1,0,2
203,2012,0,2,0,2
204,2012,1,0,1,2
205,2012,1,0,1,2
206,2012,1,1,0,2
207,2012,1,1,0,2
208,2012,1,1,0,2
209,2012,0,1,1,2
210,2012,0,1,1,2
211,2012,1,0,1,2
212,2012,0,2,0,2
213,2012,0,1,1,2
214,2012,1,1,0,2
215,2012,0,0,2,2
216,2012,1,1,0,2
217,2012,0,1,1,2
218,2012,2,0,0,2
219,2008,2,0,0,2
220,2008,0,0,2,2
221,2008,0,0,2,2
222,2008,1,0,1,2
223,2008,0,0,2,2
224,2008,2,0,0,2
225,2008,0,1,1,2
226,2008,0,2,0,2
227,2008,0,2,0,2
228,2008,0,2,0,2
229,2008,0,0,2,2
230,2008,1,1,0,2
231,2008,1,0,1,2
232,2008,0,2,0,2
233,2008,1,0,1,2
234,2008,0,1,1,2
235,2008,2,0,0,2
236,2008,0,1,1,2
237,2008,0,1,1,2
238,2008,1,0,1,2
239,2008,0,0,2,2
240,2008,2,0,0,2
241,2004,1,1,0,2
242,2004,1,0,1,2
243,2004,1,1,0,2
244,2004,0,2,0,2
245,2004,1,0,1,2
246,2004,2,0,0,2
247,2004,1,1,0,2
248,2004,1,0,1,2
249,2004,1,0,1,2
250,2004,1,1,0,2
251,2004,2,0,0,2
252,2004,0,0,2,2
253,2004,0,2,0,2
254,2004,0,2,0,2
255,2004,0,0,2,2
256,2004,1,0,1,2
257,2004,0,2,0,2
258,2004,0,1,1,2
259,2000,2,0,0,2
260,2000,0,1,1,2
261,2000,0,2,0,2
262,2000,1,1,0,2
263,2000,1,1,0,2
264,2000,2,0,0,2
265,2000,2,0,0,2
266,2000,0,1,1,2
267,2000,0,2,0,2
268,2000,0,1,1,2
269,2000,1,1,0,2
270,2000,2,0,0,2
271,2000,0,2,0,2
272,2000,1,1,0,2
273,2000,1,1,0,2
274,2000,0,1,1,2
275,2000,2,0,0,2
276,2000,1,1,0,2
277,2000,0,0,2,2
278,2000,2,0,0,2
279,2000,0,2,0,2
280,2000,2,0,0,2
281,2000,2,0,0,2
282,2000,0,0,2,2
283,2000,2,0,0,2
284,2000,1,1,0,2
285,2010,0,0,2,2
286,2010,2,0,0,2
287,2010,0,2,0,2
288,2010,0,0,2,2
289,2010,0,1,1,2
290,2010,0,2,0,2
291,2010,0,2,0,2
292,2010,1,0,1,2
293,2010,2,0,0,2
294,2006,1,1,0,2
295,2006,0,1,1,2
296,2006,0,2,0,2
297,2002,1,1,0,2
298,2002,1,1,0,2
299,2002,1,1,0,2
300,2002,0,1,1,2
301,2002,1,1,0,2
302,2002,0,1,1,2
303,2002,1,0,1,2
304,2002,0,1,1,2
305,2002,0,1,1,2
306,2010,1,1,0,2
307,2010,0,1,1,2
308,2010,0,1,1,2
309,2010,1,0,1,2
310,2010,1,1,0,2
311,2010,1,1,0,2
312,2010,0,1,1,2
313,2010,1,0,1,2
314,2006,1,1,0,2
315,2006,1,1,0,2
316,2006,1,0,1,2
317,2006,0,2,0,2
318,2006,1,1,0,2
319,2006,0,1,1,2
320,2006,1,1,0,2
321,2006,0,0,2,2
322,2006,0,0,2,2
323,2006,1,0,1,2
324,2002,1,1,0,2
325,2002,2,0,0,2
326,2002,0,0,2,2
327,2010,2,0,0,2
328,2010,0,2,0,2
329,2006,0,2,0,2
330,2006,1,1,0,2
331,2006,0,0,2,2
332,2006,2,0,0,2
333,2002,2,0,0,2
334,2002,1,1,0,2
335,2002,0,1,1,2
336,2002,0,1,1,2
337,2012,1,1,0,2
338,2012,2,0,0,2
339,2012,0,0,2,2
340,2008,1,1,0,2
341,2008,1,1,0,2
342,2004,1,1,0,2
343,2004,1,0,1,2
344,2004,0,1,1,2
345,2004,1,1,0,2
346,2000,0,1,1,2
347,2000,1,1,0,2
348,2012,0,1,1,2
349,2008,1,0,1,2
350,2008,1,0,1,2
351,2004,2,0,0,2
352,2004,2,0,0,2
353,2000,2,0,0,2
354,2000,2,0,0,2
355,2000,0,2,0,2
356,2000,0,2,0,2
357,2010,1,1,0,2
358,2010,1,0,1,2
359,2006,0,1,1,2
360,2002,0,2,0,2
361,2002,1,1,0,2
362,2012,0,1,1,2
363,2012,1,1,0,2
364,2012,2,0,0,2
365,2012,2,0,0,2
366,2012,1,0,1,2
367,2012,0,2,0,2
368,2012,1,1,0,2
369,2012,0,2,0,2
370,2012,0,1,1,2
371,2012,0,1,1,2
372,2012,0,1,1,2
373,2012,0,0,2,2
374,2008,2,0,0,2
375,2008,0,0,2,2
376,2008,2,0,0,2
377,2008,0,1,1,2
378,2008,1,0,1,2
379,2008,2,0,0,2
380,2008,0,2,0,2
381,2008,2,0,0,2
382,2004,1,0,1,2
383,2004,0,2,0,2
384,2004,0,2,0,2
385,2004,1,0,1,2
386,2004,0,1,1,2
387,2004,0,1,1,2
388,2004,0,0,2,2
389,2004,2,0,0,2
390,2004,1,1,0,2
391,2004,1,1,0,2
392,2004,0,1,1,2
393,2004,1,0,1,2
394,2004,0,1,1,2
395,2000,0,1,1,2
396,2000,0,1,1,2
397,2000,0,1,1,2
398,2000,2,0,0,2
399,2000,1,0,1,2
400,2000,1,1,0,2
401,2000,0,1,1,2
402,2000,1,1,0,2
403,2000,1,1,0,2
404,2000,0,0,2,2
405,2012,2,0,0,2
406,2012,1,1,0,2
407,2012,0,1,1,2
408,2012,1,0,1,2
409,2012,1,0,1,2
410,2008,0,0,2,2
411,2008,0,0,2,2
412,2008,0,1,1,2
413,2008,1,1,0,2
414,2008,1,1,0,2
415,2008,1,0,1,2
416,2008,1,0,1,2
417,2008,0,0,2,2
418,2008,1,0,1,2
419,2004,1,0,1,2
420,2004,0,1,1,2
421,2004,1,1,0,2
422,2004,0,0,2,2
423,2004,1,1,0,2
424,2000,0,2,0,2
425,2000,0,2,0,2
426,2000,0,1,1,2
427,2000,0,0,2,2
428,2000,0,2,0,2
429,2000,1,0,1,2
430,2000,2,0,0,2
431,2012,1,0,1,2
432,2012,1,0,1,2
433,2012,0,1,1,2
434,2012,2,0,0,2
435,2012,2,0,0,2
436,2012,0,2,0,2
437,2008,0,0,2,2
438,2008,1,0,1,2
439,2008,1,1,0,2
440,2008,1,0,1,2
441,2008,2,0,0,2
442,2008,1,1,0,2
443,2008,1,1,0,2
444,2004,0,1,1,2
445,2004,0,1,1,2
446,2004,1,1,0,2
447,2004,0,0,2,2
448,2004,1,1,0,2
449,2004,1,1,0,2
450,2004,0,1,1,2
451,2000,1,1,0,2
452,2000,1,0,1,2
453,2000,1,0,1,2
454,2000,1,1,0,2
455,2000,1,1,0,2
456,2012,1,0,1,2
457,2012,2,0,0,2
458,2012,1,1,0,2
459,2012,1,1,0,2
460,2012,2,0,0,2
461,2012,1,1,0,2
462,2008,2,0,0,2
463,2008,0,0,2,2
464,2008,2,0,0,2
465,2008,0,2,0,2
466,2008,1,0,1,2
467,2008,1,0,1,2
468,2008,1,0,1,2
469,2004,2,0,0,2
470,2004,0,1,1,2
471,2004,1,1,0,2
472,2004,1,0,1,2
473,2004,0,0,2,2
474,2004,0,1,1,2
475,2004,1,0,1,2
476,2004,1,1,0,2
477,2000,1,1,0,2
478,2000,0,2,0,2
479,2000,0,2,0,2
480,2000,1,1,0,2
481,2000,0,1,1,2
482,2000,1,1,0,2
483,2000,2,0,0,2
484,2012,0,2,0,2
485,2012,1,0,1,2
486,2012,0,2,0,2
487,2012,2,0,0,2
488,2012,2,0,0,2
489,2012,0,1,1,2
490,2012,1,0,1,2
491,2012,1,1,0,2
492,2012,2,0,0,2
493,2012,0,0,2,2
494,2008,0,1,1,2
495,2008,1,1,0,2
496,2008,1,1,0,2
497,2008,1,1,0,2
498,2008,0,1,1,2
499,2008,2,0,0,2
500,2004,2,0,0,2
501,2004,2,0,0,2
502,2004,0,0,2,2
503,2004,0,1,1,2
504,2004,1,1,0,2
505,2004,1,0,1,2
506,2004,1,0,1,2
507,2004,1,0,1,2
508,2004,0,1,1,2
509,2004,1,0,1,2
510,2004,1,0,1,2
511,2000,2,0,0,2
512,2000,2,0,0,2
513,2000,0,0,2,2
514,2000,1,1,0,2
515,2000,0,1,1,2
516,2000,1,1,0,2
517,2000,1,1,0,2
518,2010,0,0,2,2
519,2010,0,2,0,2
520,2010,2,0,0,2
521,2010,1,1,0,2
522,2010,1,1,0,2
523,2010,0,0,2,2
524,2010,1,1,0,2
525,2010,0,2,0,2
526,2006,0,1,1,2
527,2006,1,1,0,2
528,2006,1,1,0,2
529,2006,2,0,0,2
530,2006,1,0,1,2
531,2006,0,2,0,2
532,2006,2,0,0,2
533,2006,1,0,1,2
534,2006,1,1,0,2
535,2006,1,0,1,2
536,2006,2,0,0,2
537,2002,2,0,0,2
538,2002,1,0,1,2
539,2002,0,1,1,2
540,2002,0,2,0,2
541,2002,1,1,0,2
542,2002,1,0,1,2
543,2002,1,1,0,2
544,2002,0,1,1,2
545,2012,1,1,0,2
546,2012,0,1,1,2
547,2012,1,1,0,2
548,2012,2,0,0,2
549,2012,0,2,0,2
550,2012,1,1,0,2
551,2008,1,0,1,2
552,2008,0,2,0,2
553,2008,1,1,0,2
554,2008,0,1,1,2
555,2008,1,1,0,2
556,2008,1,0,1,2
557,2008,1,0,1,2
558,2008,1,0,1,2
559,2008,1,0,1,2
560,2008,0,1,1,2
561,2004,0,2,0,2
562,2004,1,1,0,2
563,2004,1,1,0,2
564,2004,2,0,0,2
565,2004,1,1,0,2
566,2004,0,1,1,2
567,2004,1,1,0,2
568,2004,0,1,1,2
569,2004,1,0,1,2
570,2004,1,1,0,2
571,2004,1,0,1,2
572,2000,1,0,1,2
573,2000,2,0,0,2
574,2000,2,0,0,2
575,2000,2,0,0,2
576,2000,0,2,0,2
577,2000,0,2,0,2
578,2000,1,0,1,2
579,2000,1,0,1,2
580,2000,2,0,0,2
581,2000,0,2,0,2
582,2000,2,0,0,2
583,2010,1,1,0,2
584,2010,1,1,0,2
585,2006,0,0,2,2
586,2006,0,0,2,2
587,2006,2,0,0,2
588,2006,2,0,0,2
589,2010,1,1,0,2
590,2010,0,1,1,2
591,2010,0,1,1,2
592,2010,0,0,2,2
593,2010,1,0,1,2
594,2010,1,1,0,2
595,2010,0,2,0,2
596,2010,1,0,1,2
597,2010,1,1,0,2
598,2006,1,0,1,2
599,2006,1,0,1,2
600,2006,0,1,1,2
601,2006,2,0,0,2
602,2006,1,1,0,2
603,2002,1,1,0,2
604,2002,0,2,0,2
605,2002,0,1,1,2
606,2002,2,0,0,2
607,2002,0,2,0,2
608,2002,0,1,1,2
609,2002,1,0,1,2
610,2002,0,2,0,2
611,2002,0,0,2,2
612,2012,2,0,0,2
613,2008,1,1,0,2
614,2008,1,0,1,2
615,2004,1,1,0,2
616,2000,1,0,1,2
617,2012,1,1,0,2
618,2012,0,1,1,2
619,2012,0,1,1,2
620,2012,0,1,1,2
621,2012,1,0,1,2
622,2012,2,0,0,2
623,2012,0,1,1,2
624,2012,0,0,2,2
625,2012,2,0,0,2
626,2012,1,0,1,2
627,2008,0,2,0,2
628,2008,2,0,0,2
629,2008,1,1,0,2
630,2008,2,0,0,2
631,2008,0,0,2,2
632,2008,1,1,0,2
633,2008,1,1,0,2
634,2008,0,2,0,2
635,2008,2,0,0,2
636,2008,1,0,1,2
637,2008,1,0,1,2
638,2008,0,1,1,2
639,2008,0,1,1,2
640,2008,2,0,0,2
641,2008,0,2,0,2
642,2008,1,1,0,2
643,2008,0,1,1,2
644,2004,0,1,1,2
645,2004,1,1,0,2
646,2004,1,0,1,2
647,2004,1,1,0,2
648,2004,2,0,0,2
649,2004,0,1,1,2
650,2004,1,1,0,2
651,2004,2,0,0,2
652,2004,1,0,1,2
653,2004,2,0,0,2
654,2000,0,1,1,2
655,2000,2,0,0,2
656,2000,0,2,0,2
657,2000,2,0,0,2
658,2000,0,1,1,2
659,2000,0,2,0,2
660,2000,2,0,0,2
661,2000,0,2,0,2
662,2000,0,1,1,2
663,2000,0,1,1,2
664,2000,1,0,1,2
665,2000,1,0,1,2
666,2000,0,1,1,2
667,2010,0,0,2,2
668,2010,1,0,1,2
669,2010,0,2,0,2
670,2010,0,2,0,2
671,2010,0,2,0,2
672,2010,2,0,0,2
673,2006,2,0,0,2
674,2006,1,1,0,2
675,2006,0,1,1,2
676,2006,2,0,0,2
677,2006,0,1,1,2
678,2006,0,0,2,2
679,2002,2,0,0,2
680,2002,0,1,1,2
681,2002,0,1,1,2
682,2002,0,2,0,2
683,2002,0,1,1,2
684,2002,0,0,2,2
685,2012,2,0,0,2
686,2012,1,0,1,2
687,2008,1,1,0,2
688,2008,1,1,0,2
689,2008,1,0,1,2
690,2008,1,1,0,2
691,2004,1,1,0,2
692,2004,2,0,0,2
693,2000,1,1,0,2
694,2000,1,0,1,2
695,2000,0,1,1,2
696,2000,2,0,0,2
697,2012,0,0,1,1
698,2012,0,1,0,1
699,2012,0,1,0,1
700,2012,1,0,0,1
701,2012,0,0,1,1
702,2012,0,0,1,1
703,2012,0,1,0,1
704,2012,0,0,1,1
705,2012,0,1,0,1
706,2012,0,0,1,1
707,2012,0,0,1,1
708,2012,0,0,1,1
709,2012,0,1,0,1
710,2012,0,0,1,1
711,2012,0,0,1,1
712,2012,1,0,0,1
713,2012,0,0,1,1
714,2012,0,1,0,1
715,2012,0,1,0,1
716,2012,0,0,1,1
717,2012,0,0,1,1
718,2012,0,1,0,1
719,2012,1,0,0,1
720,2012,1,0,0,1
721,2012,0,1,0,1
722,2012,0,1,0,1
723,2012,0,0,1,1
724,2012,0,0,1,1
725,2012,0,1,0,1
726,2012,0,0,1,1
727,2012,0,0,1,1
728,2012,1,0,0,1
729,2012,0,1,0,1
730,2012,0,0,1,1
731,2012,0,0,1,1
732,2012,0,0,1,1
733,2012,0,0,1,1
734,2012,0,0,1,1
735,2012,0,1,0,1
736,2012,0,1,0,1
737,2012,1,0,0,1
738,2012,1,0,0,1
739,2012,1,0,0,1
740,2012,0,0,1,1
741,2012,0,0,1,1
742,2012,0,0,1,1
743,2012,1,0,0,1
744,2012,0,0,1,1
745,2012,0,0,1,1
746,2012,0,0,1,1
747,2012,1,0,0,1
748,2012,0,1,0,1
749,2012,1,0,0,1
750,2012,0,0,1,1
751,2012,1,0,0,1
752,2012,0,0,1,1
753,2012,0,1,0,1
754,2012,0,0,1,1
755,2012,0,0,1,1
756,2012,0,0,1,1
757,2012,1,0,0,1
758,2012,0,1,0,1
759,2012,1,0,0,1
760,2012,0,0,1,1
761,2012,1,0,0,1
762,2012,0,0,1,1
763,2012,1,0,0,1
764,2012,1,0,0,1
765,2012,0,0,1,1
766,2012,0,1,0,1
767,2012,0,0,1,1
768,2012,1,0,0,1
769,2008,0,1,0,1
770,2008,0,1,0,1
771,2008,1,0,0,1
772,2008,0,0,1,1
773,2008,0,0,1,1
774,2008,0,1,0,1
775,2008,1,0,0,1
776,2008,0,1,0,1
777,2008,0,1,0,1
778,2008,1,0,0,1
779,2008,0,1,0,1
780,2008,0,0,1,1
781,2008,0,1,0,1
782,2008,0,1,0,1
783,2008,0,1,0,1
784,2008,0,0,1,1
785,2008,0,0,1,1
786,2008,0,0,1,1
787,2008,1,0,0,1
788,2008,0,0,1,1
789,2008,1,0,0,1
790,2008,0,1,0,1
791,2008,1,0,0,1
792,2008,1,0,0,1
793,2008,0,1,0,1
794,2008,0,0,1,1
795,2008,1,0,0,1
796,2008,0,0,1,1
797,2008,0,0,1,1
798,2008,1,0,0,1
799,2008,0,0,1,1
800,2008,1,0,0,1
801,2008,0,1,0,1
802,2008,0,0,1,1
803,2008,0,0,1,1
804,2008,1,0,0,1
805,2008,1,0,0,1
806,2008,0,0,1,1
807,2008,0,0,1,1
808,2008,1,0,0,1
809,2008,0,0,1,1
810,2008,0,0,1,1
811,2008,0,0,1,1
812,2008,0,0,1,1
813,2008,0,0,1,1
814,2008,0,0,1,1
815,2008,0,1,0,1
816,2008,1,0,0,1
817,2008,1,0,0,1
818,2008,0,0,1,1
819,2008,0,0,1,1
820,2008,0,1,0,1
821,2008,0,0,1,1
822,2008,1,0,0,1
823,2008,0,0,1,1
824,2008,0,0,1,1
825,2008,0,1,0,1
826,2008,0,1,0,1
827,2008,0,0,1,1
828,2008,0,0,1,1
829,2008,0,0,1,1
830,2008,0,0,1,1
831,2008,0,0,1,1
832,2008,1,0,0,1
833,2008,0,0,1,1
834,2008,0,0,1,1
835,2008,0,1,0,1
836,2008,0,0,1,1
837,2008,1,0,0,1
838,2008,0,0,1,1
839,2008,0,1,0,1
840,2004,0,1,0,1
841,2004,0,1,0,1
842,2004,1,0,0,1
843,2004,1,0,0,1
844,2004,1,0,0,1
845,2004,0,1,0,1
846,2004,0,0,1,1
847,2004,1,0,0,1
848,2004,0,0,1,1
849,2004,1,0,0,1
850,2004,0,0,1,1
851,2004,0,0,1,1
852,2004,0,0,1,1
853,2004,0,0,1,1
854,2004,0,1,0,1
855,2004,0,1,0,1
856,2004,1,0,0,1
857,2004,0,0,1,1
858,2004,1,0,0,1
859,2004,0,1,0,1
860,2004,0,0,1,1
861,2004,0,1,0,1
862,2004,1,0,0,1
863,2004,0,0,1,1
864,2004,0,1,0,1
865,2004,0,0,1,1
866,2004,0,1,0,1
867,2004,0,1,0,1
868,2004,1,0,0,1
869,2004,0,0,1,1
870,2004,1,0,0,1
871,2004,0,1,0,1
872,2004,0,1,0,1
873,2004,0,1,0,1
874,2004,0,0,1,1
875,2004,1,0,0,1
876,2004,0,0,1,1
877,2004,0,1,0,1
878,2004,0,0,1,1
879,2004,0,0,1,1
880,2004,1,0,0,1
881,2004,0,1,0,1
882,2004,0,0,1,1
883,2004,1,0,0,1
884,2004,1,0,0,1
885,2004,0,0,1,1
886,2004,0,0,1,1
887,2004,1,0,0,1
888,2004,1,0,0,1
889,2004,0,1,0,1
890,2004,0,1,0,1
891,2004,1,0,0,1
892,2004,0,1,0,1
893,2004,1,0,0,1
894,2000,1,0,0,1
895,2000,1,0,0,1
896,2000,0,1,0,1
897,2000,0,1,0,1
898,2000,0,1,0,1
899,2000,0,0,1,1
900,2000,0,0,1,1
901,2000,0,1,0,1
902,2000,0,0,1,1
903,2000,1,0,0,1
904,2000,0,0,1,1
905,2000,1,0,0,1
906,2000,0,1,0,1
907,2000,0,0,1,1
908,2000,0,1,0,1
909,2000,0,0,1,1
910,2000,1,0,0,1
911,2000,0,0,1,1
912,2000,0,0,1,1
913,2000,0,0,1,1
914,2000,0,0,1,1
915,2000,1,0,0,1
916,2000,0,1,0,1
917,2000,0,1,0,1
918,2000,0,1,0,1
919,2000,1,0,0,1
920,2000,0,0,1,1
921,2000,0,1,0,1
922,2000,0,0,1,1
923,2000,0,1,0,1
924,2000,1,0,0,1
925,2000,1,0,0,1
926,2000,0,1,0,1
927,2000,1,0,0,1
928,2000,0,1,0,1
929,2000,0,0,1,1
930,2000,0,1,0,1
931,2000,0,1,0,1
932,2000,1,0,0,1
933,2000,1,0,0,1
934,2000,0,0,1,1
935,2000,1,0,0,1
936,2000,1,0,0,1
937,2000,0,1,0,1
938,2000,1,0,0,1
939,2000,0,0,1,1
940,2000,1,0,0,1
941,2000,0,0,1,1
942,2012,0,0,1,1
943,2012,0,1,0,1
944,2012,0,1,0,1
945,2012,0,0,1,1
946,2012,0,0,1,1
947,2012,1,0,0,1
948,2012,0,0,1,1
949,2012,0,1,0,1
950,2012,0,1,0,1
951,2012,0,0,1,1
952,2012,0,1,0,1
953,2012,1,0,0,1
954,2012,0,0,1,1
955,2012,0,0,1,1
956,2012,0,1,0,1
957,2012,0,0,1,1
958,2012,0,1,0,1
959,2012,0,0,1,1
960,2012,1,0,0,1
961,2012,0,0,1,1
962,2012,1,0,0,1
963,2012,1,0,0,1
964,2012,0,1,0,1
965,2012,1,0,0,1
966,2012,1,0,0,1
967,2012,0,0,1,1
968,2012,0,1,0,1
969,2012,0,1,0,1
970,2012,1,0,0,1
971,2012,1,0,0,1
972,2012,1,0,0,1
973,2012,0,0,1,1
974,2012,0,0,1,1
975,2012,1,0,0,1
976,2012,0,0,1,1
977,2012,0,1,0,1
978,2012,1,0,0,1
979,2012,0,1,0,1
980,2012,0,1,0,1
981,2012,1,0,0,1
982,2012,0,1,0,1
983,2012,0,0,1,1
984,2012,0,1,0,1
985,2012,1,0,0,1
986,2012,1,0,0,1
987,2008,0,0,1,1
988,2008,1,0,0,1
989,2008,1,0,0,1
990,2008,0,0,1,1
991,2008,1,0,0,1
992,2008,1,0,0,1
993,2008,0,1,0,1
994,2008,0,1,0,1
995,2008,0,0,1,1
996,2008,0,0,1,1
997,2008,0,0,1,1
998,2008,0,1,0,1
999,2008,1,0,0,1
1000,2008,0,0,1,1
1001,2008,1,0,0,1
1002,2008,1,0,0,1
1003,2008,0,1,0,1
1004,2008,0,1,0,1
1005,2008,0,1,0,1
1006,2008,0,0,1,1
1007,2008,0,1,0,1
1008,2008,1,0,0,1
1009,2008,1,0,0,1
1010,2008,1,0,0,1
1011,2008,0,0,1,1
1012,2008,1,0,0,1
1013,2008,0,0,1,1
1014,2008,0,0,1,1
1015,2008,0,1,0,1
1016,2008,0,0,1,1
1017,2008,0,0,1,1
1018,2008,0,1,0,1
1019,2008,1,0,0,1
1020,2008,0,1,0,1
1021,2008,1,0,0,1
1022,2008,0,1,0,1
1023,2008,0,0,1,1
1024,2008,0,1,0,1
1025,2008,0,1,0,1
1026,2008,1,0,0,1
1027,2008,0,0,1,1
1028,2008,0,1,0,1
1029,2008,0,0,1,1
1030,2008,0,1,0,1
1031,2008,1,0,0,1
1032,2004,0,1,0,1
1033,2004,0,0,1,1
1034,2004,1,0,0,1
1035,2004,0,1,0,1
1036,2004,1,0,0,1
1037,2004,1,0,0,1
1038,2004,0,0,1,1
1039,2004,0,0,1,1
1040,2004,1,0,0,1
1041,2004,0,1,0,1
1042,2004,0,1,0,1
1043,2004,0,0,1,1
1044,2004,0,0,1,1
1045,2004,0,1,0,1
1046,2004,0,1,0,1
1047,2004,0,1,0,1
1048,2004,0,1,0,1
1049,2004,1,0,0,1
1050,2004,0,0,1,1
1051,2004,1,0,0,1
1052,2004,0,0,1,1
1053,2004,0,0,1,1
1054,2004,0,0,1,1
1055,2004,1,0,0,1
1056,2004,0,0,1,1
1057,2004,0,1,0,1
1058,2004,1,0,0,1
1059,2004,0,1,0,1
1060,2004,0,0,1,1
1061,2004,0,1,0,1
1062,2004,0,1,0,1
1063,2004,1,0,0,1
1064,2004,0,1,0,1
1065,2004,1,0,0,1
1066,2004,1,0,0,1
