,name,age,country
152,Anja Pärson,24.0,Sweden
153,Stephan Eberharter,32.0,Austria
154,Ding Ning,22.0,China
155,Feng Tian Wei,25.0,Singapore
156,Li Xiaoxia,24.0,China
157,Dmitrij Ovtcharov,23.0,Germany
158,Wang Hao,28.0,China
159,Zhang Jike,24.0,China
160,Guo Yue,20.0,China
161,Ma Lin,28.0,China
162,Wang Hao,24.0,China
163,Wang Liqin,30.0,China
164,Wang Nan,29.0,China
165,Zhang Yining,26.0,China
166,Zhang Yining,22.0,China
167,Kong Linghui,24.0,China
168,Li Ju,24.0,China
169,Liu Guoliang,24.0,China
170,Wang Nan,21.0,China
171,Viktoriya Azarenko,22.0,Belarus
172,Mike Bryan,34.0,United States
173,Andy Murray,25.0,Great Britain
174,Serena Williams,30.0,United States
175,Fernando González,24.0,Chile
176,Nicolás Massú,26.0,Chile
177,Venus Williams,20.0,United States
178,Ona Carbonell,22.0,Spain
179,Andrea Fuentes,29.0,Spain
180,Huang Xuechen,22.0,China
181,Nataliya Ishchenko,26.0,Russia
182,Liu Ou,25.0,China
183,Svetlana Romashina,22.0,Russia
184,Anastasiya Davydova,25.0,Russia
185,Andrea Fuentes,25.0,Spain
186,Gemma Mengual,31.0,Spain
187,Anastasiya Yermakova,25.0,Russia
188,Alison Bartosik,21.0,United States
189,Anastasiya Davydova,21.0,Russia
190,Anna Kozlova,31.0,United States
191,Miya Tachibana,29.0,Japan
192,Miho Takeda,27.0,Japan
193,Anastasiya Yermakova,21.0,Russia
194,Olga Brusnikina,21.0,Russia
195,Mariya Kiselyova,25.0,Russia
196,Miya Tachibana,25.0,Japan
197,Miho Takeda,24.0,Japan
198,Becky Adlington,23.0,Great Britain
199,Bronte Barratt,23.0,Australia
200,Elizabeth Beisel,19.0,United States
201,Mireia Belmonte,21.0,Spain
202,Ricky Berens,24.0,United States
203,Aleksandra Gerasimenya,26.0,Belarus
204,Brendan Hansen,30.0,United States
205,Jessica Hardy,25.0,United States
206,Chad le Clos,20.0,South Africa
207,Clément Lefert,24.0,France
208,Amaury Leveaux,26.0,France
209,James Magnussen,21.0,Australia
210,Takeshi Matsuda,28.0,Japan
211,Oussama Mellouli,28.0,Tunisia
212,Park TaeHwan,22.0,South Korea
213,Christian Sprenger,26.0,Australia
214,Jeremy Stravius,24.0,France
215,Aya Terakawa,27.0,Japan
216,Nick Thoman,26.0,United States
217,Marleen Veldhuis,33.0,Netherlands
218,Ye Shiwen,16.0,China
219,Becky Adlington,19.0,Great Britain
220,Leith Brodie,22.0,Australia
221,Cate Campbell,16.0,Australia
222,César Cielo Filho,21.0,Brazil
223,Hugues Duboscq,26.0,France
224,Felicity Galvez,23.0,Australia
225,Grant Hackett,28.0,Australia
226,Kara Lynn Joyce,22.0,United States
227,Amaury Leveaux,22.0,France
228,Christine Magnuson,22.0,United States
229,Patrick Murphy,24.0,Australia
230,Park TaeHwan,18.0,South Korea
231,Shayne Reese,25.0,Australia
232,Brenton Rickard,24.0,Australia
233,Mel Schlanger,21.0,Australia
234,Julia Smit,20.0,United States
235,Britta Steffen,24.0,Germany
236,Hayden Stoeckel,24.0,Australia
237,Matt Targett,22.0,Australia
238,Peter Vanderkaay,24.0,United States
239,Arkady Vyachanin,24.0,Russia
240,Garrett WeberGale,23.0,United States
241,Lindsay Benko,27.0,United States
242,Gary Hall Jr,29.0,United States
243,Brooke Hanson,26.0,Australia
244,Kara Lynn Joyce,18.0,United States
245,Klete Keller,22.0,United States
246,Yana Klochkova,22.0,Ukraine
247,Rachel Komisarz,27.0,United States
248,Libby LentonTrickett,19.0,Australia
249,Jason Lezak,28.0,United States
250,Ryan Lochte,20.0,United States
251,Alice Mills,18.0,Australia
252,Tomomi Morita,19.0,Japan
253,Markus Rogan,22.0,Austria
254,Jenny Thompson,31.0,United States
255,Franziska van Almsick,26.0,Germany
256,Neil Walker,28.0,United States
257,Amanda Weir,18.0,United States
258,Takashi Yamamoto,26.0,Japan
259,Brooke Bennett,20.0,United States
260,Beatrice CoadaCaslaru,25.0,Romania
261,Josh Davis,28.0,United States
262,Tom Dolan,25.0,United States
263,Anthony Ervin,19.0,United States
264,Domenico Fioravanti,23.0,Italy
265,Grant Hackett,20.0,Australia
266,Geoff Huegill,21.0,Australia
267,Leisel Jones,15.0,Australia
268,Klete Keller,18.0,United States
269,Jason Lezak,24.0,United States
270,Diana Mocanu,16.0,Romania
271,Martina Moravcová,24.0,Slovakia
272,Ed Moses,20.0,United States
273,Diana Munz,18.0,United States
274,Mai Nakamura,21.0,Japan
275,Todd Pearson,22.0,Australia
276,Adam Pine,24.0,Australia
277,Claudia Poll,27.0,Costa Rica
278,Megan QuannJendrick,16.0,United States
279,Giaan Rooney,17.0,Australia
280,Courtney Shealy,22.0,United States
281,Ashley Tappin,25.0,United States
282,Stev Theloke,22.0,Germany
283,Amy Van Dyken,27.0,United States
284,Neil Walker,24.0,United States
285,J R Celski,19.0,United States
286,Charles Hamelin,25.0,Canada
287,Lee HoSeok,23.0,South Korea
288,Park SeungHui,17.0,South Korea
289,Katherine Reutter,21.0,United States
290,Seong SiBaek,22.0,South Korea
291,Marianne StGelais,19.0,Canada
292,FrançoisLouis Tremblay,29.0,Canada
293,Zhou Yang,18.0,China
294,Choi EunGyeong,21.0,South Korea
295,Anouk LeblancBoucher,21.0,Canada
296,FrançoisLouis Tremblay,25.0,Canada
297,Choi EunGyeong,17.0,South Korea
298,Go GiHyeon,15.0,South Korea
299,Jonathan Guilmette,23.0,Canada
300,Li Jiajun,26.0,China
301,Apolo Anton Ohno,19.0,United States
302,Evgeniya Radanova,24.0,Bulgaria
303,Mathieu Turcotte,25.0,Canada
304,Wang Chunlu,23.0,China
305,Yang Yang S,24.0,China
306,Shani Davis,27.0,United States
307,Kristina Groves,33.0,Canada
308,Chad Hedrick,32.0,United States
309,Sven Kramer,23.0,Netherlands
310,Lee SeungHun,21.0,South Korea
311,Mo TaeBeom,21.0,South Korea
312,Ivan Skobrev,27.0,Russia
313,Mark Tuitert,29.0,Netherlands
314,Joey Cheek,26.0,United States
315,Shani Davis,23.0,United States
316,Anni FriesingerPostma,29.0,Germany
317,Kristina Groves,29.0,Canada
318,Clara Hughes,33.0,Canada
319,Sven Kramer,19.0,Netherlands
320,Claudia Pechstein,33.0,Germany
321,Carl Verheijen,30.0,Netherlands
322,Erben Wennemars,30.0,Netherlands
323,Ireen Wüst,19.0,Netherlands
324,Derek Parra,31.0,United States
325,Claudia Pechstein,29.0,Germany
326,Jennifer Rodriguez,25.0,United States
327,Simon Ammann,28.0,Switzerland
328,Adam Malysz,32.0,Poland
329,Matti Hautamäki,24.0,Finland
330,Andreas Kofler,21.0,Austria
331,Roar Ljøkelsøy,29.0,Norway
332,Thomas Morgenstern,19.0,Austria
333,Simon Ammann,20.0,Switzerland
334,Sven Hannawald,27.0,Germany
335,Matti Hautamäki,20.0,Finland
336,Adam Malysz,24.0,Poland
337,Niccolò Campriani,24.0,Italy
338,Jin JongO,32.0,South Korea
339,Olena Kostevych,27.0,Ukraine
340,Jin JongO,28.0,South Korea
341,Katerina KurkováEmmons,24.0,Czech Republic
342,Lyubov Galkina,31.0,Russia
343,Mariya Grozdeva,32.0,Bulgaria
344,Lee BoNa,23.0,South Korea
345,Mikhail Nestruyev,35.0,Russia
346,Igor Basinsky,37.0,Belarus
347,Tao Luna,26.0,China
348,Kim Crow,26.0,Australia
349,Georgeta DamianAndrunache,32.0,Romania
350,Viorica Susanu,32.0,Romania
351,Georgeta DamianAndrunache,28.0,Romania
352,Viorica Susanu,28.0,Romania
353,Georgeta DamianAndrunache,24.0,Romania
354,Doina Ignat,31.0,Romania
355,Pieta van Dishoeck,28.0,Netherlands
356,Eeke van Nes,31.0,Netherlands
357,Bill Demong,29.0,United States
358,Bernhard Gruber,27.0,Austria
359,Magnus Moan,22.0,Norway
360,Ronny Ackermann,24.0,Germany
361,Jaakko Tallus,20.0,Finland
362,Denis Ablyazin,19.0,Russia
363,Chen Yibing,27.0,China
364,Gabby Douglas,16.0,United States
365,Feng Zhe,24.0,China
366,Sandra Izbasa,22.0,Romania
367,Viktoriya Komova,17.0,Russia
368,McKayla Maroney,16.0,United States
369,Marcel Nguyen,24.0,Germany
370,Mariya Paseka,17.0,Russia
371,Catalina Ponor,24.0,Romania
372,Louis Smith,23.0,Great Britain
373,Max Whitlock,19.0,Great Britain
374,Chen Yibing,23.0,China
375,Anton Golotsutskov,23.0,Russia
376,He Kexin,16.0,China
377,Jonathan Horton,22.0,United States
378,Sandra Izbasa,18.0,Romania
379,Li Xiaopeng,27.0,China
380,Kohei Uchimura,19.0,Japan
381,Xiao Qin,23.0,China
382,Alexandra Eremia,17.0,Romania
383,Annia Hatch,26.0,United States
384,Terin Humphrey,18.0,United States
385,Takehiro Kashima,24.0,Japan
386,Svetlana Khorkina,25.0,Russia
387,Courtney Kupets,18.0,United States
388,Anna Pavlova,16.0,Russia
389,Monica Rosu,17.0,Romania
390,Dana Sofronie,16.0,Romania
391,Hiroyuki Tomita,23.0,Japan
392,Marius Urzica,28.0,Romania
393,Isao Yoneda,26.0,Japan
394,Yordan Yovchev,31.0,Bulgaria
395,Oleksandr Beresh,22.0,Ukraine
396,Aleksey Bondarenko,22.0,Russia
397,Lee JuHyeong,27.0,South Korea
398,Li Xiaopeng,19.0,China
399,Liu Xuan,21.0,China
400,Maria Olaru,18.0,Romania
401,Yelena Produnova,20.0,Russia
402,Andreea Raducan,16.0,Romania
403,Yang Wei,20.0,China
404,Yordan Yovchev,27.0,Bulgaria
405,Elisa Di Francisca,29.0,Italy
406,Arianna Errigo,24.0,Italy
407,Diego Occhiuzzi,31.0,Italy
408,Sun Yujie,19.0,China
409,Valentina Vezzali,38.0,Italy
410,Stefano Carozzo,29.0,Italy
411,Margherita Granbassi,28.0,Italy
412,Sada Jacobson,25.0,United States
413,Fabrice Jeannet,27.0,France
414,Nicolas Lopez,27.0,France
415,Matteo Tagliariol,25.0,Italy
416,Valentina Vezzali,34.0,Italy
417,Becca Ward,18.0,United States
418,Mariel Zagunis,23.0,United States
419,Andrea Cassarà,20.0,Italy
420,Laura FlesselColovic,32.0,France
421,Aldo Montano,25.0,Italy
422,Maureen Nisima,23.0,France
423,Salvatore Sanzo,28.0,Italy
424,Mathieu Gourdain,26.0,France
425,Gianna HablützelBürki,30.0,Switzerland
426,Rita König,23.0,Germany
427,Wiradech Kothny,21.0,Germany
428,Hugues Obry,27.0,France
429,Giovanna Trillini,30.0,Italy
430,Valentina Vezzali,26.0,Italy
431,Sandra Auffarth,25.0,Germany
432,Laura Bechtolsheimer,27.0,Great Britain
433,Adelinde Cornelissen,33.0,Netherlands
434,Charlotte Dujardin,27.0,Great Britain
435,Michael Jung,29.0,Germany
436,Gerco Schröder,34.0,Netherlands
437,Tina Cook,37.0,Great Britain
438,Heike Kemmer,41.71178822269718,Germany
439,Eric Lamaze,40.0,Canada
440,Beezie Madden,41.71178822269718,United States
441,Hinrich Romeike,41.71178822269718,Germany
442,Anky van Grunsven,40.0,Netherlands
443,Isabell Werth,39.0,Germany
444,Beatriz FerrerSalat,38.0,Spain
445,Pippa Funnell,35.0,Great Britain
446,Chris Kappler,37.0,United States
447,Marco Kutscher,29.0,Germany
448,Leslie Law,39.0,Great Britain
449,Ulla Salzgeber,41.71178822269718,Germany
450,Kim Severson,30.0,United States
451,Andrew Hoy,41.0,Australia
452,David OConnor,38.0,United States
453,Ulla Salzgeber,41.71178822269718,Germany
454,Anky van Grunsven,32.0,Netherlands
455,Isabell Werth,31.0,Germany
456,David Boudia,23.0,United States
457,Chen Ruolin,19.0,China
458,He Zi,21.0,China
459,Qin Kai,26.0,China
460,Wu Minxia,26.0,China
461,Ilya Zakharov,21.0,Russia
462,Chen Ruolin,15.0,China
463,Gleb Galperin,25.0,Russia
464,Guo Jingjing,26.0,China
465,Yuliya Pakhalina,30.0,Russia
466,Qin Kai,22.0,China
467,Wang Xin,16.0,China
468,Wu Minxia,22.0,China
469,Guo Jingjing,22.0,China
470,Mathew Helm,23.0,Australia
471,Lao Lishi,16.0,China
472,Chantelle MichellNewbery,27.0,Australia
473,Robert Newbery,25.0,Australia
474,Yuliya Pakhalina,26.0,Russia
475,Tian Liang,24.0,China
476,Wu Minxia,18.0,China
477,Fu Mingxia,22.0,China
478,Guo Jingjing,18.0,China
479,Hu Jia,17.0,China
480,Li Na,16.0,China
481,Anne Montminy,25.0,Canada
482,Tian Liang,21.0,China
483,Xiong Ni,26.0,China
484,Grégory Baugé,27.0,France
485,Ed Clancy,27.0,Great Britain
486,Sarah Hammer,28.0,United States
487,Chris Hoy,36.0,Great Britain
488,Jason Kenny,24.0,Great Britain
489,Maximilian Levy,25.0,Germany
490,Anna Meares,28.0,Australia
491,Vicki Pendleton,31.0,Great Britain
492,Laura Trott,20.0,Great Britain
493,Olga Zabelinskaya,32.0,Russia
494,Mickaël Bourgain,28.0,France
495,Fabian Cancellara,27.0,Switzerland
496,Jason Kenny,20.0,Great Britain
497,Joan Llaneras,39.0,Spain
498,Hayden Roulston,27.0,New Zealand
499,Bradley Wiggins,28.0,Great Britain
500,Ryan Bayley,22.0,Australia
501,Graeme Brown,25.0,Australia
502,Sergi Escobar,29.0,Spain
503,Rob Hayles,31.0,Great Britain
504,Brad McGee,28.0,Australia
505,Anna Meares,20.0,Australia
506,Stefan Nimke,26.0,Germany
507,Olga Slyusareva,35.0,Russia
508,Arnaud Tournant,26.0,France
509,René Wolff,26.0,Germany
510,Leontien Zijlaardvan Moorsel,34.0,Netherlands
511,Félicia Ballanger,29.0,France
512,Robert Bartko,24.0,Germany
513,Jens Fiedler,30.0,Germany
514,Jens Lehmann,32.0,Germany
515,Gary Neiwand,34.0,Australia
516,Jason Queally,30.0,Great Britain
517,Jan Ullrich,26.0,Germany
518,Lukáš Bauer,32.0,Czech Republic
519,Anna Haag,23.0,Sweden
520,Marcus Hellner,24.0,Sweden
521,Charlotte Kalla,22.0,Sweden
522,Claudia KünzelNystad,32.0,Germany
523,AinoKaisa Saarinen,31.0,Finland
524,Evi SachenbacherStehle,29.0,Germany
525,Axel Teichmann,30.0,Germany
526,Tobias Angerer,28.0,Germany
527,Yuliya Chepalova,29.0,Russia
528,Yevgeny Dementyev,23.0,Russia
529,Giorgio Di Centa,33.0,Italy
530,Thobias Fredriksson,30.0,Sweden
531,Claudia KünzelNystad,28.0,Germany
532,Björn Lind,27.0,Sweden
533,Yevgeniya Medvedeva,29.0,Russia
534,Katerina Neumannová,32.0,Czech Republic
535,Pietro Piller Cottrer,31.0,Italy
536,Kristina ŠmigunVähi,28.0,Estonia
537,Thomas Alsgaard,30.0,Norway
538,Viola Bauer,25.0,Germany
539,Anita MoenGuidon,34.0,Norway
540,Katerina Neumannová,28.0,Czech Republic
541,Evi SachenbacherStehle,21.0,Germany
542,Kristen Skjeldal,34.0,Norway
543,Andrus Veerpalu,31.0,Estonia
544,Cristian Zorzi,29.0,Italy
545,Tina Dietze,24.0,Germany
546,Natasa DouchevJanics,30.0,Hungary
547,Katalin Kovács,36.0,Hungary
548,Danuta Kozák,25.0,Hungary
549,Inna OsypenkoRadomska,29.0,Ukraine
550,Franziska Weber,23.0,Germany
551,Tim Brabants,31.0,Great Britain
552,David Cal,25.0,Spain
553,Natasa DouchevJanics,26.0,Hungary
554,Christian Gille,32.0,Germany
555,Katalin Kovács,32.0,Hungary
556,Vadim Makhnyov,28.0,Belarus
557,Roman Petrushenko,27.0,Belarus
558,Katrin WagnerAugustin,30.0,Germany
559,Ken Wallace,25.0,Australia
560,Tomasz Wylenzek,25.0,Germany
561,Nathan Baggaley,28.0,Australia
562,David Cal,21.0,Spain
563,Andreas Dittmer,32.0,Germany
564,Natasa DouchevJanics,22.0,Hungary
565,Birgit FischerSchmidt,41.71178822269718,Germany
566,Aleksandr Kostoglod,30.0,Russia
567,Katalin Kovács,28.0,Hungary
568,Aleksandr Kovalyov,29.0,Russia
569,Eirik Verås Larsen,28.0,Norway
570,Carolin Leonhardt,19.0,Germany
571,Adam Van Koeverden,22.0,Canada
572,Andreas Dittmer,28.0,Germany
573,Birgit FischerSchmidt,38.0,Germany
574,Knut Holmann,32.0,Norway
575,Zoltán Kammerer,22.0,Hungary
576,Katalin Kovács,24.0,Hungary
577,Petar Merkov,23.0,Bulgaria
578,Florin Popescu,26.0,Romania
579,Mitica Pricop,22.0,Romania
580,Botond Storcz,25.0,Hungary
581,Szilvia Szabó,21.0,Hungary
582,Katrin WagnerAugustin,22.0,Germany
583,Kevin Kuske,31.0,Germany
584,André Lange,36.0,Germany
585,Martin Annen,32.0,Switzerland
586,Beat Hefti,28.0,Switzerland
587,Kevin Kuske,27.0,Germany
588,André Lange,32.0,Germany
589,Ole Einar Bjørndalen,36.0,Norway
590,Marie Laure Brunet,21.0,France
591,Marie Dorin,23.0,France
592,Simone Hauswald,30.0,Germany
593,Vincent Jay,24.0,France
594,Anastasia Kuzmina,25.0,Slovakia
595,Christoph Sumann,34.0,Austria
596,Yevgeny Ustyugov,24.0,Russia
597,Olga Zaytseva,31.0,Russia
598,Florence BaverelRobert,31.0,France
599,Vincent Defrasne,28.0,France
600,Halvard Hanevold,36.0,Norway
601,Svetlana Ishmuratova,33.0,Russia
602,AnnaCarin OlofssonZidek,32.0,Sweden
603,Uschi Disl,31.0,Germany
604,Sven Fischer,30.0,Germany
605,Ricco Groß,31.0,Germany
606,Andrea Henkel,24.0,Germany
607,Frank Luck,34.0,Germany
608,Raphaël Poirée,27.0,France
609,Olga PylyovaMedvedtseva,26.0,Russia
610,Liv Grete SkjelbreidPoirée,27.0,Norway
611,Magdalena WallinForsberg,34.0,Sweden
612,Zhao Yunlei,25.0,China
613,Lee HyoJeong,27.0,South Korea
614,Yu Yang,22.0,China
615,Gao Ling,25.0,China
616,Gao Ling,21.0,China
617,Nataliya Antyukh,31.0,Russia
618,Veronica CampbellBrown,30.0,Jamaica
619,Vivian Cheruiyot,28.0,Kenya
620,Will Claye,21.0,United States
621,Tirunesh Dibaba,27.0,Ethiopia
622,Mo Farah,29.0,Great Britain
623,Justin Gatlin,30.0,United States
624,Lalonde Gordon,23.0,Trinidad and Tobago
625,Sanya RichardsRoss,27.0,United States
626,DeeDee Trotter,29.0,United States
627,Elvan Abeylegesse,25.0,Turkey
628,Kenenisa Bekele,26.0,Ethiopia
629,Kerron Clement,22.0,United States
630,Tirunesh Dibaba,23.0,Ethiopia
631,Walter Dix,22.0,United States
632,Allyson Felix,22.0,United States
633,Yuliya Gushchina,25.0,Russia
634,Tatyana Lebedeva,32.0,Russia
635,LaShawn Merritt,22.0,United States
636,David Neville,24.0,United States
637,Sanya RichardsRoss,23.0,United States
638,Kerron Stewart,24.0,Jamaica
639,Jared Tallent,23.0,Australia
640,Angelo Taylor,29.0,United States
641,Richard Thompson,23.0,Trinidad and Tobago
642,Jeremy Wariner,24.0,United States
643,Shericka Williams,22.0,Jamaica
644,Nataliya Antyukh,23.0,Russia
645,Kenenisa Bekele,22.0,Ethiopia
646,Derrick Brew,26.0,United States
647,Shawn Crawford,26.0,United States
648,Hicham El Guerrouj,29.0,Morocco
649,Maurice Greene,30.0,United States
650,Otis Harris,22.0,United States
651,Kelly Holmes,34.0,Great Britain
652,Tatyana Lebedeva,28.0,Russia
653,Jeremy Wariner,20.0,United States
654,Ato Boldon,26.0,Trinidad and Tobago
655,Pauline DavisThompson,34.0,Bahamas
656,Lorraine Graham,27.0,Jamaica
657,Maurice Greene,26.0,United States
658,Greg Haughton,26.0,Jamaica
659,Deon Hemmings,31.0,Jamaica
660,Robert Korzeniowski,32.0,Poland
661,Tayna Lawrence,25.0,Jamaica
662,Beverly McDonald,30.0,Jamaica
663,Merlene OtteyPage,40.0,Jamaica
664,Irina Privalova,31.0,Russia
665,Gabriela Szabo,24.0,Romania
666,Gete Wami,25.0,Ethiopia
667,Elisabeth Görgl,28.0,Austria
668,Lindsey KildowVonn,25.0,United States
669,Ivica Kostelic,30.0,Croatia
670,Julia Mancuso,25.0,United States
671,Tina Maze,26.0,Slovenia
672,Maria Riesch,25.0,Germany
673,Michaela Dorfmeister,32.0,Austria
674,Janica Kostelic,24.0,Croatia
675,Hermann Maier,33.0,Austria
676,Benjamin Raich,27.0,Austria
677,Marlies Schild,24.0,Austria
678,Rainer Schönfelder,28.0,Austria
679,Kjetil André Aamodt,30.0,Norway
680,Renate Götschl,26.0,Austria
681,Lasse Kjus,31.0,Norway
682,Bode Miller,24.0,United States
683,Anja Pärson,20.0,Sweden
684,Benjamin Raich,23.0,Austria
685,Ki BoBae,24.0,South Korea
686,Oh JinHyek,30.0,South Korea
687,Park GyeongMo,32.0,South Korea
688,Park SeongHyeon,25.0,South Korea
689,Yun OkHui,23.0,South Korea
690,Zhang Juanjuan,27.0,China
691,Lee SeongJin,19.0,South Korea
692,Park SeongHyeon,21.0,South Korea
693,Kim NamSun,20.0,South Korea
694,Kim SuNyeong,29.0,South Korea
695,Vic Wunderle,24.0,United States
696,Yun MiJin,17.0,South Korea
697,Artur Aleksanyan,20.0,Armenia
698,Valeriy Andriitsev,25.0,Ukraine
699,Rövsn Bayramov,25.0,Azerbaijan
700,Jordan Burroughs,24.0,United States
701,Clarissa Chun,30.0,United States
702,Yogeshwar Dutt,29.0,India
703,Jaime Espinal,27.0,Puerto Rico
704,Johan Eurén,27.0,Sweden
705,Karam Gaber,32.0,Egypt
706,Daniyal Gadzhiyev,26.0,Kazakhstan
707,Komeil Ghasemi,24.0,Iran
708,Giorgi Gogshelidze,32.0,Georgia
709,Sadegh Goudarzi,24.0,Iran
710,Steeve Guénot,26.0,France
711,Carol Huynh,31.0,Canada
712,Kaori Icho,28.0,Japan
713,Damian Janikowski,23.0,Poland
714,Jing Ruixue,24.0,China
715,Arsen Julfalakyan,25.0,Armenia
716,Riza Kayaalp,22.0,Turkey
717,Aleksandras Kazakevicius,26.0,Lithuania
718,Vladimer Khinchegashvili,21.0,Georgia
